Owner:,SMITH DONALD
Cname:,TYSON FOODS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,34
2004,Feb,20
2004,Mar,25
2004,Apr,25
2004,May,20
2004,Jun,18
2004,Jul,26
2004,Aug,21
2004,Sep,29
2004,Oct,23
2004,Nov,31
2004,Dec,30
2005,Jan,37
2005,Feb,23
2005,Mar,30
2005,Apr,25
2005,May,29
2005,Jun,28
2005,Jul,28
2005,Aug,24
2005,Sep,23
2005,Oct,27
2005,Nov,36
2005,Dec,26
2006,Jan,38
2006,Feb,20
2006,Mar,38
2006,Apr,33
2006,May,33
2006,Jun,25
2006,Jul,27
2006,Aug,23
2006,Sep,25
2006,Oct,29
2006,Nov,25
2006,Dec,23
2007,Jan,17
2007,Feb,30
2007,Mar,31
2007,Apr,14
2007,May,26
2007,Jun,32
2007,Jul,22
2007,Aug,22
2007,Sep,22
2007,Oct,25
2007,Nov,22
2007,Dec,24
2008,Jan,30
2008,Feb,24
2008,Mar,20
2008,Apr,26
2008,May,19
2008,Jun,18
2008,Jul,18
2008,Aug,22
2008,Sep,21
2008,Oct,20
2008,Nov,22
2008,Dec,17
2009,Jan,23
2009,Feb,14
2009,Mar,22
2009,Apr,17
2009,May,18
2009,Jun,26
2009,Jul,16
2009,Aug,21
2009,Sep,18
2009,Oct,17
2009,Nov,18
2009,Dec,21
2010,Jan,19
2010,Feb,16
2010,Mar,21
2010,Apr,16
2010,May,14
2010,Jun,24
2010,Jul,19
2010,Aug,18
2010,Sep,21
2010,Oct,24
2010,Nov,20
2010,Dec,15
2011,Jan,24
2011,Feb,15
2011,Mar,24
2011,Apr,23
2011,May,22
2011,Jun,21
2011,Jul,16
2011,Aug,19
2011,Sep,21
2011,Oct,19
2011,Nov,18
2011,Dec,21
2012,Jan,16
2012,Feb,21
2012,Mar,18
2012,Apr,17
2012,May,19
2012,Jun,16
2012,Jul,15
2012,Aug,26
2012,Sep,29
2012,Oct,21
2012,Nov,18
2012,Dec,14
2013,Jan,18
2013,Feb,20
2013,Mar,16
2013,Apr,18
2013,May,21
2013,Jun,48
2013,Jul,25
2013,Aug,20
2013,Sep,19
2013,Oct,17
2013,Nov,19
2013,Dec,14
2014,Jan,15
2014,Feb,19
2014,Mar,17
2014,Apr,36
2014,May,31
2014,Jun,21
2014,Jul,23
2014,Aug,19
2014,Sep,21
2014,Oct,18
2014,Nov,18
2014,Dec,15
2015,Jan,18
2015,Feb,19
2015,Mar,21
2015,Apr,17
2015,May,17
2015,Jun,20
2015,Jul,26
2015,Aug,37
2015,Sep,31
2015,Oct,25
2015,Nov,26
2015,Dec,30
2016,Jan,36
2016,Feb,40
2016,Mar,50
2016,Apr,48
2016,May,36
2016,Jun,40
2016,Jul,42
2016,Aug,45
2016,Sep,44
2016,Oct,100
2016,Nov,62
2016,Dec,37
2017,Jan,55
2017,Feb,46
2017,Mar,34
2017,Apr,27
2017,May,32
2017,Jun,26
2017,Jul,34
2017,Aug,29
2017,Sep,29
2017,Oct,29
2017,Nov,31
2017,Dec,28
2018,Jan,34
2018,Feb,93
2018,Mar,38
2018,Apr,31
2018,May,43
2018,Jun,33
2018,Jul,27
2018,Aug,31
2018,Sep,33
2018,Oct,34
2018,Nov,48
2018,Dec,30
2019,Jan,31
2019,Feb,28
2019,Mar,24
2019,Apr,24
2019,May,25
2019,Jun,31
2019,Jul,26
2019,Aug,23
2019,Sep,30
2019,Oct,41
2019,Nov,29
2019,Dec,24
2020,Jan,29
2020,Feb,29
2020,Mar,24
2020,Apr,26
2020,May,25
2020,Jun,33
2020,Jul,35
2020,Aug,32
2020,Sep,28
2020,Oct,42
2020,Nov,42
2020,Dec,30
2021,Jan,44
